Requirement ID,Source Doc,Source Section,Module,Requirement Statement,User Role(s),Priority,Complexity,Dependency/Related IDs,Acceptance Criteria Needed,Status,MVP Scope,Test Required,Owner Agent,Notes
PROJ-003,3,Project code,Project Structure,Each project must have an automatically generated unique readable project code.,Diginoces admin,Must-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
PROJ-004,3,Event codes,Project Structure,Event codes must be auto-generated from event type and editable by Diginoces/admin.,Diginoces admin,Should-have,Medium,PROJ-003,Yes,Not started,MVP,Yes,Backend Agent,
PROJ-005,3,Master guest database,Project Structure,"Each project must have one master guest database, with guests assigned to one or more events.",All,Must-have,High,GM-001,Yes,Not started,MVP,Yes,Backend Agent,
PROJ-006,3,Event packages,Project Structure,Each event inside a project can have its own package/add-ons while contract remains project-level.,Diginoces admin,Must-have,High,PAY-006,Yes,Not started,MVP,Yes,Backend Agent,
PROJ-007,3,Workflow checklist,Tasks & Workflow,Each project must have an automatically generated workflow checklist based on project/event setup.,"Diginoces admin, Staff",Must-have,High,,Yes,Not started,MVP,Yes,Backend Agent,
GM-001,4,Master guest database,Guest Management,System must maintain one master guest database per wedding project.,All,Must-have,High,PROJ-005,Yes,Not started,MVP,Yes,Backend Agent,
GM-002,4,Separate lists,Guest Management,System must preserve separate bride and groom working lists backed by the master guest database.,"Bride, Groom",Must-have,High,ROLE-005,Yes,Not started,MVP,Yes,Frontend Agent,
GM-003,4,Manual entry,Guest Management,Users with permission must be able to manually add guests through the app.,"Bride, Groom, Staff",Must-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
GM-004,4,CSV/Excel import,Guest Import,System must support CSV/Excel guest import with column mapping and preview.,"Bride, Groom, Staff",Must-have,High,,Yes,Not started,MVP,Yes,Data Agent,
GM-005,4,Import approval,Guest Import,Bride/groom imports must require Diginoces/admin review before guests become active.,"Diginoces admin, Bride, Groom",Must-have,High,GM-004,Yes,Not started,MVP,Yes,Backend Agent,
GM-006,4,Required fields,Guest Management,System must validate required fields before invitation generation and key workflows.,Staff,Must-have,High,INV-012,Yes,Not started,MVP,Yes,Backend Agent,
GM-007,4,Custom title/types,Guest Management,Diginoces/admin and bride/groom users must be able to create guest title/types with count safeguards.,"Diginoces admin, Bride, Groom",Should-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
GM-008,4,Duplicate detection,Guest Management,System must detect possible duplicate guests across bride/groom lists and imports.,All,Must-have,High,,Yes,Not started,MVP,Yes,AI Agent,
GM-009,4,Both sides,Guest Management,A guest can belong to both bride and groom sides while counted only once.,"Bride, Groom, Staff",Must-have,High,GM-008,Yes,Not started,MVP,Yes,Backend Agent,
GM-010,4,Household grouping,Guest Management,System must support household/family grouping while keeping separate member invitations/check-ins.,All,Should-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
GM-011,4,Tags,Guest Management,System must support couple-created tags and internal Diginoces tags.,All,Should-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
GM-012,4,Bulk editing,Guest Management,System must support bulk editing of guests with permission and lock-stage controls.,"Bride, Groom, Staff",Should-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
GM-013,4,Locking stages,Guest Management,"Guest lists must lock after invitation generation/sending, routing couple changes through requests.","Bride, Groom, Staff",Must-have,High,,Yes,Not started,MVP,Yes,Backend Agent,
GM-014,4,Change requests,Guest Management,After lock bride/groom must submit structured change requests for guest changes.,"Bride, Groom, Staff",Must-have,High,GM-013,Yes,Not started,MVP,Yes,Backend Agent,
GM-015,4,Printed-only guests,Guest Management,"Printed-only guests can lack WhatsApp number with admin override, use manual RSVP and manual check-in.","Diginoces admin, Staff",Must-have,Medium,RSVP-014;CHK-012,Yes,Not started,MVP,Yes,Backend Agent,
RSVP-001,5,Public guest page,Public Guest Page,Each guest must have a secure personal public page accessible without account creation.,Guest,Must-have,High,ROLE-009,Yes,Not started,MVP,Yes,Frontend Agent,
RSVP-002,5,Payment gate,Public Guest Page,Guest public page must remain locked until full payment or payment exception override.,"Guest, Diginoces admin",Must-have,High,PAY-014,Yes,Not started,MVP,Yes,Backend Agent,
RSVP-003,5,Admin preview,Public Guest Page,Diginoces/admin can preview guest public pages before payment unlock; couple cannot.,Diginoces admin,Must-have,Medium,RSVP-002,Yes,Not started,MVP,Yes,Frontend Agent,
RSVP-004,5,Elegant page,Public Guest Page,Guest page must have elegant wedding-style design with couple photo and event information.,Guest,Should-have,Medium,,Yes,Not started,MVP,Yes,UX/UI Agent,
RSVP-005,5,Languages,Localization,Guest page must support French and English with guest preferred language.,Guest,Must-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
RSVP-006,5,RSVP options,RSVP,"RSVP options must be Yes, No, and Maybe.",Guest,Must-have,Low,,Yes,Not started,MVP,Yes,Backend Agent,
RSVP-007,5,Multi-event RSVP,RSVP,Guest invited to multiple events uses one RSVP flow with answers stored per event.,Guest,Must-have,High,PROJ-002,Yes,Not started,MVP,Yes,Backend Agent,
RSVP-008,5,Deadlines,RSVP,Each event must have its own RSVP deadline.,Diginoces admin,Must-have,Medium,PROJ-002,Yes,Not started,MVP,Yes,Backend Agent,
RSVP-009,5,Edit rules,RSVP,Guest can change RSVP only if previous answer was Maybe; Yes/No lock after submission.,Guest,Must-have,High,,Yes,Not started,MVP,Yes,Backend Agent,
RSVP-010,5,Operational effects,RSVP,"RSVP No excludes guest from expected attendance, table capacity, reminders, and check-in; Maybe remains included.",All,Must-have,High,SEAT-009;CHK-002,Yes,Not started,MVP,Yes,Backend Agent,
RSVP-011,5,Maybe reminders,RSVP,Maybe guests must receive customizable follow-up reminders before RSVP deadline.,"Guest, Diginoces admin",Should-have,Medium,MSG-005,Yes,Not started,MVP,Yes,WhatsApp Agent,
RSVP-012,5,Post-deadline review,RSVP,Pending/Maybe after deadline must enter manual review by Diginoces/admin and couple.,"Diginoces admin, Couple",Must-have,Medium,RSVP-008,Yes,Not started,MVP,Yes,Frontend Agent,
RSVP-013,5,Invitation download,Public Guest Page,Guests must be able to download their own latest invitation PDF from their public page.,Guest,Must-have,Medium,INV-018,Yes,Not started,MVP,Yes,Frontend Agent,
RSVP-014,5,Printed-only RSVP,RSVP,Printed-only guest RSVP must be handled manually by Diginoces/couple.,"Diginoces admin, Couple",Must-have,Medium,GM-015,Yes,Not started,MVP,Yes,Backend Agent,
INV-001,6,Canva design source,Invitations,Canva remains the design tool; app imports Canva-exported PDF templates.,Diginoces staff,Must-have,Medium,PV-005,Yes,Not started,MVP,Yes,PDF/QR Agent,
INV-002,6,Event-level templates,Invitations,Invitation templates must be managed at event level.,Diginoces staff,Must-have,Medium,PROJ-002,Yes,Not started,MVP,Yes,Backend Agent,
INV-003,6,Template upload,Invitations,Diginoces/admin can upload Canva PDF templates and track template status.,"Diginoces admin, Staff",Must-have,Medium,FILE-006,Yes,Not started,MVP,Yes,Frontend Agent,
INV-004,6,Visual editor,Invitations,App must provide a visual drag-and-drop editor for dynamic field placement.,Diginoces staff,Must-have,High,,Yes,Not started,MVP,Yes,Frontend Agent,
INV-005,6,Dynamic fields,Invitations,"Templates must support dynamic guest, table, QR, event, couple, and invitation fields.",Diginoces staff,Must-have,High,INV-004,Yes,Not started,MVP,Yes,PDF/QR Agent,
INV-006,6,Text fitting,PDF Generation,PDF generator must support smart text fitting for long names and titles.,Diginoces staff,Must-have,High,,Yes,Not started,MVP,Yes,PDF/QR Agent,
INV-007,6,Separate QR types,QR,Public guest page QR and check-in QR must remain separate.,"Diginoces staff, Check-in staff",Must-have,High,RSVP-001;CHK-003,Yes,Not started,MVP,Yes,PDF/QR Agent,
INV-008,6,Secure QR tokens,QR,QR codes must use secure short tokens instead of long WhatsApp URLs.,All,Must-have,High,TECH-010,Yes,Not started,MVP,Yes,Backend Agent,
INV-009,6,Preview/staging,Invitations,Full invitation generation must be blocked until Diginoces/admin approves technical preview.,Diginoces admin,Must-have,High,,Yes,Not started,MVP,Yes,PDF/QR Agent,
INV-010,6,Design approval record,Invitations,Couple design approval remains manual outside app but must be recordable in the app.,Diginoces staff,Should-have,Low,,Yes,Not started,MVP,Yes,Frontend Agent,
INV-011,6,Batch generation,Invitations,"System must support invitation generation by event, selected guests, table, status, and all.",Diginoces staff,Must-have,High,,Yes,Not started,MVP,Yes,PDF/QR Agent,
INV-012,6,Generation validation,Invitations,System must block invitation generation for guests missing required or conditional data.,Diginoces staff,Must-have,High,GM-006,Yes,Not started,MVP,Yes,Backend Agent,
INV-013,6,Invitation statuses,Invitations,"System must track invitation statuses including generated, sent, needs regeneration, failed, resent, cancelled.",Diginoces staff,Must-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
INV-014,6,Regeneration rules,Invitations,Relevant data changes must mark invitations as needing regeneration.,Diginoces staff,Must-have,Medium,GM-014,Yes,Not started,MVP,Yes,Backend Agent,
INV-015,6,Version history,Invitations,Regenerated invitations must keep version history and expose only the latest version to guests.,"Guest, Staff",Must-have,Medium,FILE-005,Yes,Not started,MVP,Yes,Files Agent,
MSG-001,7,WhatsApp-first,Communication,Version 1 must be WhatsApp-first and support API mode plus guided manual mode.,All,Must-have,High,PV-004,Yes,Not started,MVP,Yes,WhatsApp Agent,
MSG-002,7,Message templates,Communication,"System must use approved templates for invitation, RSVP, reminders, modifications, welcome, and resend messages.",Diginoces admin,Must-have,Medium,,Yes,Not started,MVP,Yes,WhatsApp Agent,
MSG-003,7,Multilingual templates,Communication,System must use approved French/English templates selected by guest preferred language.,Guest,Must-have,Medium,RSVP-005,Yes,Not started,MVP,Yes,WhatsApp Agent,
MSG-004,7,Invitation sending gate,Communication,System must block invitation sending until full payment or approved exception and required data are present.,Diginoces staff,Must-have,High,PAY-014;INV-012,Yes,Not started,MVP,Yes,Backend Agent,
MSG-005,7,Maybe follow-ups,Communication,System must prepare/send Maybe follow-up reminders according to event schedule.,Guest,Should-have,Medium,RSVP-011,Yes,Not started,MVP,Yes,WhatsApp Agent,
MSG-006,7,Modification messages,Communication,System must detect changes that may require modification messages and let staff decide action.,Diginoces staff,Must-have,Medium,GM-014;INV-014,Yes,Not started,MVP,Yes,WhatsApp Agent,
MSG-007,7,Welcome message,Communication,Check-in should send/prepare welcome/table message on first arrival only for Couple invitations.,"Guest, Staff",Should-have,Medium,CHK-006,Yes,Not started,MVP,Yes,WhatsApp Agent,
MSG-008,7,Message statuses,Communication,"System must track message statuses including prepared, queued, opened manually, sent, failed, skipped, resent.",Diginoces staff,Must-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
MSG-009,7,Manual accountability,Communication,"Guided manual sending must record staff member, time, guest, event, and status.",Diginoces staff,Must-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
MSG-010,7,Avoid unofficial automation,Communication,Core product must avoid unofficial WhatsApp Web automation as primary method.,Diginoces admin,Must-have,Medium,,Yes,Not started,MVP,Yes,Architecture Agent,
CHK-001,8,Staff accounts,Check-in,Check-in only by logged-in assigned staff with full accounts.,Check-in staff,Must-have,High,ROLE-006,Yes,Not started,MVP,Yes,Security Agent,
CHK-002,8,Multiple methods,Check-in,"Check-in must support QR scan, invitation ID search, name search, phone search, table search, and side filters.",Check-in staff,Must-have,High,,Yes,Not started,MVP,Yes,Check-in Agent,
CHK-003,8,Event-specific QR,Check-in,QR check-in must be event-specific and not mark attendance for other events.,Check-in staff,Must-have,High,INV-007,Yes,Not started,MVP,Yes,Backend Agent,
CHK-004,8,Mobile check-in screen,Check-in,Check-in screen must be mobile/tablet optimized with large buttons and clear guest/table data.,Check-in staff,Must-have,Medium,,Yes,Not started,MVP,Yes,UX/UI Agent,
CHK-005,8,Couple partial arrivals,Check-in,"Couple invitations must support 0/2, 1/2, and 2/2 arrival states.",Check-in staff,Must-have,High,,Yes,Not started,MVP,Yes,Check-in Agent,
CHK-006,8,No duplicate welcome,Check-in,For Couple invitations second arrival updates count only and does not send another welcome message.,Check-in staff,Must-have,Medium,MSG-007,Yes,Not started,MVP,Yes,Check-in Agent,
CHK-007,8,Household member check-in,Check-in,Household/family groups must be checked in member by member.,Check-in staff,Should-have,Medium,GM-010,Yes,Not started,MVP,Yes,Check-in Agent,
CHK-008,8,Unexpected guests,Check-in,Unexpected guests must require supervisor approval before entry.,"Supervisor, Check-in staff",Must-have,High,,Yes,Not started,MVP,Yes,Check-in Agent,
CHK-009,8,Approval modes,Check-in,Unexpected guest approval must support in-app approval and manual approval recording.,Supervisor,Must-have,Medium,CHK-008,Yes,Not started,MVP,Yes,Check-in Agent,
CHK-010,8,VIP highlight,Check-in,VIP/protocol guests must be visually highlighted on check-in screen without separate alert in v1.,Check-in staff,Should-have,Medium,SEAT-010,Yes,Not started,MVP,Yes,Frontend Agent,
CHK-011,8,Offline mode,Check-in,System must support preloaded offline guest list and sync when online.,Check-in staff,Must-have,High,,Yes,Not started,MVP,Yes,Check-in Agent,
CHK-012,8,Printed-only manual check-in,Check-in,Printed-only guests must be checked in manually by name/search.,Check-in staff,Must-have,Medium,GM-015,Yes,Not started,MVP,Yes,Check-in Agent,
CHK-013,8,Device/station assignment,Check-in,System must support assignment of check-in devices/stations to staff/events.,Diginoces admin,Should-have,Medium,,Yes,Not started,MVP,Yes,Check-in Agent,
CHK-014,8,Check-in dashboard,Check-in,Dashboard must show real-time arrivals by table and by staff/device.,Supervisor,Must-have,High,,Yes,Not started,MVP,Yes,Frontend Agent,
SEAT-001,9,Event-specific seating,Tables & Seating,Tables and seating must be managed separately per event.,All,Must-have,High,PROJ-002,Yes,Not started,MVP,Yes,Backend Agent,
SEAT-002,9,Assignment modes,Tables & Seating,"System must support table-level, seat-level, and mixed assignment modes per event.",Diginoces admin,Should-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
SEAT-003,9,Table records,Tables & Seating,"Each table must have structured fields including ID, name, description, capacity, event, status, and display order.",Diginoces staff,Must-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
SEAT-004,9,Table creation,Tables & Seating,System must support individual and bulk table creation.,Diginoces staff,Should-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
SEAT-005,9,Capacity warnings,Tables & Seating,System must calculate occupancy and warn on full/over-capacity tables.,All,Must-have,High,,Yes,Not started,MVP,Yes,Backend Agent,
SEAT-006,9,Assignment UI,Tables & Seating,System must support list/table view and visual drag-and-drop seating map.,"Couple, Staff",Should-have,High,,Yes,Not started,MVP,Yes,Frontend Agent,
SEAT-007,9,Unassigned guests,Tables & Seating,System must clearly show invited guests not assigned to a table.,"Couple, Staff",Must-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
SEAT-008,9,Table locking,Tables & Seating,After invitations are sent couple table changes must become change requests.,"Couple, Staff",Must-have,Medium,GM-014,Yes,Not started,MVP,Yes,Backend Agent,
SEAT-009,9,RSVP seating interaction,Tables & Seating,RSVP No excludes from active seating; Maybe remains included.,All,Must-have,High,RSVP-010,Yes,Not started,MVP,Yes,Backend Agent,
SEAT-010,9,VIP/protocol seating,Tables & Seating,System must support VIP/protocol tags and special seating notes.,Diginoces staff,Should-have,Medium,CHK-010,Yes,Not started,MVP,Yes,Frontend Agent,
SEAT-011,9,Canva table CSV,Print Materials,System must generate Canva Bulk Create CSV for table cards.,Diginoces staff,Must-have,Medium,FILE-008,Yes,Not started,MVP,Yes,Data Agent,
SEAT-012,9,Printed invitations list,Print Materials,System must track printed invitation workflow statuses.,Diginoces staff,Should-have,Medium,GM-015,Yes,Not started,MVP,Yes,Backend Agent,
PAY-001,10,Project contract,Contracts & Payments,System must generate one contract for the whole wedding project.,"Diginoces admin, Groom",Must-have,High,PROJ-006,Yes,Not started,MVP,Yes,Backend Agent,
PAY-002,10,In-app approval,Contracts & Payments,Contract must be displayed in-app and approved with checkbox confirmation.,"Groom, Bride",Must-have,High,,Yes,Not started,MVP,Yes,Frontend Agent,
PAY-003,10,Preferred approver,Contracts & Payments,Only one couple member must approve contract; groom is preferred approver.,"Groom, Diginoces admin",Must-have,Medium,PAY-002,Yes,Not started,MVP,Yes,Backend Agent,
PAY-004,10,No in-app negotiation,Contracts & Payments,Version 1 does not include contract negotiation/change request flow inside app.,Couple,Could-have,Low,,Yes,Not started,Post-MVP,No,Orchestrator Agent,
PAY-005,10,Addendums,Contracts & Payments,System must support addendums for price/scope changes such as added guests/events/services.,"Diginoces admin, Couple",Should-have,High,,Yes,Not started,MVP,Yes,Backend Agent,
PAY-006,10,Packages,Pricing,System must support Diginoces-admin-managed service packages and add-ons.,Diginoces admin,Must-have,High,,Yes,Not started,MVP,Yes,Backend Agent,
PAY-007,10,Event-level packages,Pricing,Each event can have its own selected package/add-ons while project has one contract.,Diginoces admin,Must-have,High,PROJ-006,Yes,Not started,MVP,Yes,Backend Agent,
PAY-008,10,USD all-inclusive,Pricing,Version 1 pricing must use USD only with all-inclusive amounts and no tax breakdown.,Diginoces admin,Must-have,Low,,Yes,Not started,MVP,Yes,Backend Agent,
PAY-009,10,Planned guest count,Pricing,Pricing must be based on planned guest count.,Diginoces admin,Must-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
PAY-010,10,Guest increase,Pricing,Planned guest count increase after contract approval must trigger additional amount/addendum workflow.,Diginoces admin,Must-have,High,PAY-009,Yes,Not started,MVP,Yes,Backend Agent,
PAY-011,10,Guest decrease,Pricing,Planned guest count decrease after contract approval does not automatically reduce price.,Diginoces admin,Must-have,Medium,PAY-009,Yes,Not started,MVP,Yes,Backend Agent,
PAY-012,10,Commercial gesture,Pricing,Diginoces/admin can manually apply commercial discount/gesture with reason and audit trail.,Diginoces admin,Should-have,Medium,PAY-011,Yes,Not started,MVP,Yes,Backend Agent,
PAY-013,10,Manual payments,Payments,Payments are handled outside app but manually recorded in app.,Diginoces admin,Must-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
PAY-014,10,Payment gate,Payments,Full payment unlocks invitation sending and guest public page access.,"Diginoces admin, Staff",Must-have,High,RSVP-002;MSG-004,Yes,Not started,MVP,Yes,Backend Agent,
PAY-015,10,Payment exception,Payments,Diginoces/admin can approve exception override before full payment with reason and audit.,Diginoces admin,Must-have,High,PAY-014,Yes,Not started,MVP,Yes,Security Agent,
WISH-001,11,Wish submission,Guest Book,"Guests submit wishes through their public guest page, replacing Google Forms.",Guest,Must-have,Medium,RSVP-001,Yes,Not started,MVP,Yes,Frontend Agent,
WISH-002,11,Text only,Guest Book,Version 1 supports text wishes with emojis only; no audio/video/photo uploads.,Guest,Must-have,Low,,Yes,Not started,MVP,Yes,Frontend Agent,
WISH-003,11,One wish per guest,Guest Book,Each guest can submit only one wish and edit same wish before deadline.,Guest,Must-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
WISH-004,11,Moderation,Guest Book,"Diginoces/admin can review, edit, approve, exclude, and moderate wishes.","Diginoces admin, Staff",Must-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
WISH-005,11,Original vs edited,Guest Book,System must preserve original wish and separate approved/edited wish for printing.,Diginoces admin,Must-have,Medium,WISH-004,Yes,Not started,MVP,Yes,Backend Agent,
WISH-006,11,Couple review,Guest Book,Couple can review and approve wishes before guest-book export.,Couple,Must-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
WISH-007,11,Canva CSV,Guest Book,System must export approved wishes as Canva Bulk Create CSV.,Diginoces staff,Must-have,Medium,FILE-008,Yes,Not started,MVP,Yes,Data Agent,
WISH-008,11,Guest-book files,Guest Book,Final guest-book CSV/PDF files must be stored in project file library.,Diginoces staff,Should-have,Medium,FILE-001,Yes,Not started,MVP,Yes,Files Agent,
PART-001,12,Partner model,Partners,External planners/providers are partners who bring weddings to Diginoces under Diginoces brand/pricing.,"Partners, Diginoces admin",Must-have,High,PV-003,Yes,Not started,MVP,Yes,Orchestrator Agent,
PART-002,12,Partner accounts,Partners,"Each partner must have an account with status, contact info, project links, and permissions.",Partner,Must-have,Medium,ROLE-004,Yes,Not started,MVP,Yes,Backend Agent,
PART-003,12,Partner project creation,Partners,Partners can create draft wedding projects and submit them for Diginoces/admin approval.,"Partner, Diginoces admin",Must-have,High,PROJ-006,Yes,Not started,MVP,Yes,Backend Agent,
PART-004,12,Approval required,Partners,Partner-created projects must be approved by Diginoces/admin before couple access.,"Diginoces admin, Partner",Must-have,High,PART-003,Yes,Not started,MVP,Yes,Backend Agent,
PART-005,12,Partner restrictions,Partners,"Partners cannot manage pricing, see revenue, approve payment exceptions, or view internal notes/audit logs.",Partner,Must-have,High,ROLE-004;PAY-015,Yes,Not started,MVP,Yes,Security Agent,
PART-006,12,Partner communication,Partners,Partners can communicate with couple through project comment thread; Diginoces/admin can see it.,"Partner, Couple, Diginoces admin",Should-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
PART-007,12,No commissions,Partners,Version 1 tracks projects brought by partners but does not manage commissions/referral fees.,Diginoces admin,Must-have,Low,,Yes,Not started,MVP,Yes,Backend Agent,
REP-001,13,Dashboards,Reports & Dashboards,"System must provide global, project, event, couple, partner, check-in, and operations dashboards with role-based visibility.",All,Must-have,High,,Yes,Not started,MVP,Yes,Frontend Agent,
REP-002,13,Global dashboard,Reports & Dashboards,Global business dashboard visible only to Diginoces/admin and authorized internal roles.,Diginoces admin,Must-have,Medium,ROLE-002,Yes,Not started,MVP,Yes,Security Agent,
REP-003,13,Couple dashboard,Reports & Dashboards,Couple dashboard shows simplified progress without internal notes/audit/revenue.,"Bride, Groom",Must-have,Medium,ROLE-005,Yes,Not started,MVP,Yes,Frontend Agent,
REP-004,13,Partner dashboard,Reports & Dashboards,Partner dashboard shows assigned/originated projects without revenue/payment details.,Partner,Should-have,Medium,PART-005,Yes,Not started,MVP,Yes,Frontend Agent,
REP-005,13,Report exports,Reports & Dashboards,"Reports must export as PDF, Excel, or CSV depending on use case and permissions.","Diginoces admin, Couple",Must-have,Medium,,Yes,Not started,MVP,Yes,Data Agent,
REP-006,13,Audit logs,Audit Logs,"System must keep internal, read-only audit logs for sensitive actions.",Diginoces admin,Must-have,High,,Yes,Not started,MVP,Yes,Backend Agent,
REP-007,13,Audit visibility,Audit Logs,Audit logs visible only to Diginoces/admin and authorized internal roles.,Diginoces admin,Must-have,High,REP-006,Yes,Not started,MVP,Yes,Security Agent,
FILE-001,14,App-owned storage,Files & Storage,Future platform must use own internal file storage as official storage system.,Diginoces admin,Must-have,High,PV-006,Yes,Not started,MVP,Yes,Architecture Agent,
FILE-002,14,Project library,Files & Storage,Each wedding project must have a file library with categories.,Diginoces staff,Must-have,Medium,,Yes,Not started,MVP,Yes,Frontend Agent,
FILE-003,14,Event files,Files & Storage,"System must support event-level files such as templates, reports, table CSVs, and check-in reports.",Diginoces staff,Should-have,Medium,PROJ-002,Yes,Not started,MVP,Yes,Backend Agent,
FILE-004,14,Guest files,Files & Storage,"System must support guest-specific files linked to guest, event, invitation ID, version, and active status.","Guest, Staff",Must-have,High,INV-015,Yes,Not started,MVP,Yes,Files Agent,
FILE-005,14,Version history,Files & Storage,Key files must support version history with active/latest marker.,Diginoces staff,Must-have,Medium,INV-015,Yes,Not started,MVP,Yes,Files Agent,
FILE-006,14,Secure downloads,Files & Storage,"Guest-facing file downloads must use secure, revocable links and expose only own files.",Guest,Must-have,High,RSVP-013,Yes,Not started,MVP,Yes,Security Agent,
FILE-007,14,Retention,Files & Storage,Project files retained for one year after wedding before deletion/archive action.,Diginoces admin,Should-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
FILE-008,14,Canva exports,Files & Storage,System must store Canva CSV exports with metadata and versioning.,Diginoces staff,Should-have,Medium,WISH-007;SEAT-011,Yes,Not started,MVP,Yes,Files Agent,
FILE-009,14,Upload validation,Files & Storage,"File uploads must validate type, size, corruption, and dangerous formats.",All,Must-have,High,,Yes,Not started,MVP,Yes,Security Agent,
AI-001,15,AI assistance,AI Assistance,"AI assistance must suggest, draft, clean, summarize, and warn without bypassing user permissions.",All,Should-have,High,,Yes,Not started,Post-MVP,Yes,AI Agent,
AI-002,15,AI access,AI Assistance,"AI available to admin, staff, partners, bride, groom with permission-aware behavior.",All,Should-have,Medium,ROLE-001,Yes,Not started,Post-MVP,Yes,AI Agent,
AI-003,15,Before/after lock,AI Assistance,Bride/groom can apply AI suggestions directly only while list is unlocked; after lock suggestions become requests.,"Bride, Groom",Should-have,Medium,GM-013,Yes,Not started,Post-MVP,Yes,AI Agent,
